BrowsePath;Value;DataType
DeviceSet_DeviceName_Location;"";String
DeviceSet_DeviceName_ServiceAccessEnabled;FALSE;Boolean
DeviceSet_DeviceName_UserName;"";String
DeviceSet_DeviceName_NetworkConfiguration_Interfaces_StaticDefaultGateway;"";String
DeviceSet_DeviceName_NetworkConfiguration_Interfaces_InterfaceName1_Mode;0 (DHCP);Int32
DeviceSet_DeviceName_NetworkConfiguration_Interfaces_InterfaceName1_StaticConfigurations_IPv4_Address;"";String
DeviceSet_DeviceName_NetworkConfiguration_Interfaces_InterfaceName1_StaticConfigurations_IPv4_Netmask;"";String
DeviceSet_DeviceName_SynchronizationInterfaces_InterfaceName1_TimeSource;0 (Internal);Int64


